# Log10(wave)  Resid
 3.6016000 1.00341
 3.6017000 1.00153
 3.6018000 0.998586
 3.6019000 0.998144
 3.6020000 0.999238
 3.6021000 1.00060
 3.6022000 0.992353
 3.6023000 0.990094
 3.6024000 0.988501
 3.6025000 0.989470
 3.6026000 0.986681
 3.6027000 0.986002
 3.6028000 0.990681
 3.6029000 0.986155
 3.6030000 0.990459
 3.6031000 0.988456
 3.6032000 0.994667
 3.6033000 0.996400
 3.6034000 0.994827
 3.6035000 0.997232
 3.6036000 0.991180
 3.6037000 0.990722
 3.6038000 0.996294
 3.6039000 0.993690
 3.6040000 0.993516
 3.6041000 0.995709
 3.6042000 0.995385
 3.6043000 0.992728
 3.6044000 0.993930
 3.6045000 0.998394
 3.6046000 0.998367
 3.6047000 0.997207
 3.6048000 1.00057
 3.6049000 0.989363
 3.6050000 0.991889
 3.6051000 0.998779
 3.6052000 0.994496
 3.6053000 0.995519
 3.6054000 0.994352
 3.6055000 0.991407
 3.6056000 0.996008
 3.6057000 0.990886
 3.6058000 0.993214
 3.6059000 0.994719
 3.6060000 0.991521
 3.6061000 0.989958
 3.6062000 0.989046
 3.6063000 0.990180
 3.6064000 0.994900
 3.6065000 0.997362
 3.6066000 0.995957
 3.6067000 0.999466
 3.6068000 1.00055
 3.6069000 0.997904
 3.6070000 0.998384
 3.6071000 0.994139
 3.6072000 0.995161
 3.6073000 0.992945
 3.6074000 0.993804
 3.6075000 1.00012
 3.6076000 0.998532
 3.6077000 0.993580
 3.6078000 0.993325
 3.6079000 0.997100
 3.6080000 0.994568
 3.6081000 0.993420
 3.6082000 0.991129
 3.6083000 0.992618
 3.6084000 0.994221
 3.6085000 0.993150
 3.6086000 0.991652
 3.6087000 0.997635
 3.6088000 0.994864
 3.6089000 0.994298
 3.6090000 0.993111
 3.6091000 0.990845
 3.6092000 0.995497
 3.6093000 0.994246
 3.6094000 0.991406
 3.6095000 0.997799
 3.6096000 0.996555
 3.6097000 0.991496
 3.6098000 0.995412
 3.6099000 0.994122
 3.6100000 0.993180
 3.6101000 0.996105
 3.6102000 0.994907
 3.6103000 0.996751
 3.6104000 0.997675
 3.6105000 0.997747
 3.6106000 0.999394
 3.6107000 1.00565
 3.6108000 1.00476
 3.6109000 1.00352
 3.6110000 1.00807
 3.6111000 1.01229
 3.6112000 1.01013
 3.6113000 1.01457
 3.6114000 1.01930
 3.6115000 1.02178
 3.6116000 1.02813
 3.6117000 1.03074
 3.6118000 1.02697
 3.6119000 1.02925
 3.6120000 1.03231
 3.6121000 1.03216
 3.6122000 1.03429
 3.6123000 1.03917
 3.6124000 1.03681
 3.6125000 1.03612
 3.6126000 1.04319
 3.6127000 1.03976
 3.6128000 1.03870
 3.6129000 1.03761
 3.6130000 1.03763
 3.6131000 1.03684
 3.6132000 1.03605
 3.6133000 1.03537
 3.6134000 1.03582
 3.6135000 1.03451
 3.6136000 1.03848
 3.6137000 1.03782
 3.6138000 1.03090
 3.6139000 1.03257
 3.6140000 1.03699
 3.6141000 1.02776
 3.6142000 1.02541
 3.6143000 1.02462
 3.6144000 1.03313
 3.6145000 1.02814
 3.6146000 1.01866
 3.6147000 1.01837
 3.6148000 1.01616
 3.6149000 1.01121
 3.6150000 1.00964
 3.6151000 1.01168
 3.6152000 1.01287
 3.6153000 1.00812
 3.6154000 1.00205
 3.6155000 1.00043
 3.6156000 1.00159
 3.6157000 0.997441
 3.6158000 0.998779
 3.6159000 0.995509
 3.6160000 0.996606
 3.6161000 0.997268
 3.6162000 0.999453
 3.6163000 0.994943
 3.6164000 0.998164
 3.6165000 0.999517
 3.6166000 0.996258
 3.6167000 1.00124
 3.6168000 0.999245
 3.6169000 0.997627
 3.6170000 1.00152
 3.6171000 0.998582
 3.6172000 1.00195
 3.6173000 0.998483
 3.6174000 0.997633
 3.6175000 0.999609
 3.6176000 0.994488
 3.6177000 0.996202
 3.6178000 0.996787
 3.6179000 0.995412
 3.6180000 0.997944
 3.6181000 0.999367
 3.6182000 0.993290
 3.6183000 0.997162
 3.6184000 0.998134
 3.6185000 0.990422
 3.6186000 0.996181
 3.6187000 0.998949
 3.6188000 0.996406
 3.6189000 0.996454
 3.6190000 0.999836
 3.6191000 0.997785
 3.6192000 1.00152
 3.6193000 1.00324
 3.6194000 1.00101
 3.6195000 1.00099
 3.6196000 1.00162
